word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved
とん,（1000,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,ton,fully-absent,,,,,,,no
(かさを～) さす,(かさを～) さす,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,撑（伞）,fully-absent,,,,,,,no
じゅうたん,（カーペット）,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt,waller-derived,1,kana/loanword,carpet,fully-absent,,,,,,,no
しいんと,（する）,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt,waller-derived,1,kana/loanword,silent (as the grave); (deathly) quiet,same-writing-different-reading,,しいんと,,,,,no
"(花を〜) 生ける, 活ける",(はなを～) いける,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,to arrange (flowers),fully-absent,,,,,,,no
ミリ,（メートル）,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt,waller-derived,1,kana/loanword,milli-; 10^-3,same-writing-different-reading,,ミリ,,,,,no
だいいち,（副）,N2,"{""N2"": 1}","{""waller-derived"": ""N2""}",openjlpt,waller-derived,1,kana/loanword,first; foremost; # 1,fully-absent,,,,,,,no
ふと,（副）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,suddenly; casually; accidentally,same-writing-different-reading,,ふと,,,,,no
できる,（可能。出現。発生）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,to be able to; to be ready; to occur,same-writing-different-reading,,できる,,,,,no
うん,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,fortune; luck,same-writing-different-reading,,うん,,,,,no
しまった,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,Damn it!,same-writing-different-reading,,しまった,,,,,no
すみません,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,sorry; excuse me,same-writing-different-reading,,すみません,,,,,no
ね,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,value; price; cost,same-writing-different-reading,,ね,,,,,no
はい,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,wear; put on (sword),same-writing-different-reading,,はい,,,,,no
よろしく,（感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,well; properly; suitably,same-writing-different-reading,,よろしく,,,,,no
どう,（接。副）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,child; servant; foolishness,same-writing-different-reading,,どう,,,,,no
それ,（接。感）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,it; that,same-writing-different-reading,,それ,,,,,no
しまい,（終わり）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,sisters,same-writing-different-reading,,しまい,,,,,no
しまう,（終わる）,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,kana/loanword,to finish; to close; to do something completely,same-writing-different-reading,,しまう,,,,,no
賛成,Uӣ[い,N3,"{""N3"": 1}","{""waller-derived"": ""N3""}",openjlpt,waller-derived,1,lexical,approval; agreement; support,same-writing-different-reading,,さんせい,,,,,no
～(て) しまう,～(て) しまう,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,to end up ~,fully-absent,,,,,,,no
～(に) ついて,～(に) ついて,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,"about, concerning",fully-absent,,,,,,,no
～(に) よると,～(に) よると,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,according to ~,fully-absent,,,,,,,no
〜(日本) 式,～(にほん) しき,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,"custom,",fully-absent,,,,,,,no
～宛,～あて,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,"for…(e.g., In a letter)",fully-absent,,,,,,,no
～合せ,～あわせ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,in all,fully-absent,,,,,,,no
～位,～い,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,~th place,fully-absent,,,,,,,no
～いち (にほんいち),～いち (にほんいち),N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,No. 1 ~ (in),fully-absent,,,,,,,no
～員,～いん,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,member of ~,fully-absent,,,,,,,no
～営,～えい,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,~ run,fully-absent,,,,,,,no
～円,～えん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,～日元,fully-absent,,,,,,,no
～園,～えん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,~ garden (especially man made),fully-absent,,,,,,,no
～おき,～おき,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,每隔～,fully-absent,,,,,,,no
～おしまい (おわり),～おしまい (おわり),N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,end up ~,fully-absent,,,,,,,no
～おわる,～おわる,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,to finish doing ~,fully-absent,,,,,,,no
～下,～か,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～下,fully-absent,,,,,,,no
～化,～か,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～化,fully-absent,,,,,,,no
～家,～か,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,person who is specialized in ~,fully-absent,,,,,,,no
～日,～か,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～日,fully-absent,,,,,,,no
～歌,～か,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～歌,fully-absent,,,,,,,no
～科,～か,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,lexical,～科,fully-absent,,,,,,,no
～会,～かい,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,lexical,～会,fully-absent,,,,,,,no
～回,～かい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,～次,fully-absent,,,,,,,no
～界,～かい,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,"world, circle, kingdom",fully-absent,,,,,,,no
～階,～かい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,lexical,～层,fully-absent,,,,,,,no
～画,～かく,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,lexical,~ strokes,fully-absent,,,,,,,no
